"gbif_id";"iucn_id";"cites_id";"nombre_cientifico";"nombre_cientifico2";"reino";"filo";"clase";"orden";"familia";"genero";"TIPO";"NOMBRE.EN.ESPAÑOL";"NACIONAL";"STATUS";"iucn_status";"cites_status"
2696299;131368300;NA;"Puya angulonis";"Puya angulonis L.B.Sm.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Bromeliaceae";"Puya";"Flora";NA;NA;"Endémica";"VU";NA
2694520;131368708;NA;"Tillandsia capillaris";"Tillandsia capillaris Ruiz & Pav.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Bromeliaceae";"Tillandsia";"Flora";"Siempre viva";NA;"Nativa";"LC";NA
2694856;NA;NA;"Tillandsia geissei";"Tillandsia geissei Phil.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Bromeliaceae";"Tillandsia";"Flora";NA;NA;"Nativa";NA;NA
2694996;NA;NA;"Tillandsia hirta";"Tillandsia hirta W.Till & L.Hrom.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Bromeliaceae";"Tillandsia";"Flora";NA;NA;"Nativa";NA;NA
2695666;NA;NA;"Tillandsia landbeckii";"Tillandsia landbeckii Phil.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Bromeliaceae";"Tillandsia";"Flora";"Siempre viva";NA;"Nativa";NA;NA
2695090;NA;NA;"Tillandsia purpurea";"Tillandsia purpurea Ruiz & Pav.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Bromeliaceae";"Tillandsia";"Flora";"Siempre viva";NA;"Nativa";NA;NA
2695758;NA;NA;"Tillandsia werdermannii";"Tillandsia werdermannii Harms";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Bromeliaceae";"Tillandsia";"Flora";"Siempre viva";"EN";"Endémica";NA;NA
2721893;NA;NA;"Carex incurva";"Carex L.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Flora";NA;NA;"Introducida";NA;NA
2713559;164060;NA;"Cyperus laevigatus";"Cyperus laevigatus L.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";"Flora";NA;NA;"Introducida";"LC";NA
2714818;158183;NA;"Cyperus rotundus";"Cyperus rotundus L.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";"Flora";NA;NA;"Introducida";"LC";NA
2716738;NA;NA;"Cyperus tacnensis";"Cyperus tacnensis Nees & Meyen";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";"Flora";NA;NA;NA;NA;NA
2716850;164219;NA;"Eleocharis geniculata";"Eleocharis geniculata (L.) Roem. & Schult.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Eleocharis";"Flora";NA;NA;"Nativa";"LC";NA
2717190;NA;NA;"Eleocharis tucumanensis";"Eleocharis tucumanensis Barros";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Eleocharis";"Flora";NA;NA;NA;NA;NA
2713316;164026;NA;"Isolepis cernua";"Isolepis cernua (Vahl) Roem. & Schult.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Isolepis";"Flora";NA;NA;"Introducida";"LC";NA
5291315;131347576;NA;"Phylloscirpus boliviensis";"Phylloscirpus boliviensis (Barros) Dhooge & Goetgh.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Phylloscirpus";"Flora";NA;NA;"Nativa";"LC";NA
5291316;NA;NA;"Phylloscirpus deserticola";"Phylloscirpus deserticola (Phil.) Dhooge & Goetgh.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Phylloscirpus";"Flora";NA;NA;NA;NA;NA
2711108;NA;NA;"Schoenoplectus californicus";"Schoenoplectus californicus (C.A.Mey.) Soják";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Schoenoplectus";"Flora";NA;NA;NA;NA;NA
2719161;NA;NA;"Zameioscirpus muticus";"Zameioscirpus muticus Dhooge & Goetgh.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Zameioscirpus";"Flora";NA;NA;"Nativa";NA;NA
5329238;NA;NA;"Elodea potamogeton";"Elodea potamogeton (Bertero) Espinosa";"Plantae";"Tracheophyta";"Liliopsida";"Alismatales";"Hydrocharitaceae";"Elodea";"Flora";"Bertero";NA;NA;NA;NA
6310595;44393449;NA;"Mastigostyla candaravensis";"Mastigostyla candaravensis Ravenna";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Iridaceae";"Mastigostyla";"Flora";NA;NA;"Endémica";"DD";NA
2746684;NA;NA;"Olsynium junceum";"Olsynium junceum (E.Mey. ex C.Presl) Goldblatt";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Iridaceae";"Olsynium";"Flora";NA;NA;NA;NA;NA
5297412;NA;NA;"Tigridia albicans";"Tigridia albicans Ravenna";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Iridaceae";"Tigridia";"Flora";NA;NA;"Endémica";NA;NA
5289416;NA;NA;"Distichia muscoides";"Distichia muscoides Nees & Meyen";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Juncaceae";"Distichia";"Flora";"Kunkuna, Orccotina, Waricha, Tiña";NA;"Nativa";NA;NA
5289415;NA;NA;"Distichia filamentosa";"Distichia filamentosa Buchenau";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Juncaceae";"Distichia";"Flora";NA;NA;"Nativa";NA;NA
6413649;164042;NA;"Juncus bufonius";"Juncus bufonius L.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Juncaceae";"Juncus";"Flora";NA;NA;"Introducida";"LC";NA
2701440;NA;NA;"Juncus ebracteatus";"Juncus ebracteatus E.Mey.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Juncaceae";"Juncus";"Flora";NA;NA;NA;NA;NA
2700981;NA;NA;"Luzula ruiz-lealii";"Luzula ruiz-lealii Barros";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Juncaceae";"Luzula";"Flora";NA;NA;NA;NA;NA
4204330;NA;NA;"Oxychloe andina";"Oxychloe andina Phil.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Juncaceae";"Oxychloe";"Flora";"Packo";NA;"Nativa";NA;NA
2700562;NA;NA;"Patosia clandestina";"Patosia clandestina (Phil.) Buchenau";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Juncaceae";"Patosia";"Flora";NA;NA;NA;NA;NA
2789990;NA;28461;"Dichaea laxa";"Dichaea laxa (Ruiz & Pav.) Poepp. & Endl.";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Orchidaceae";"Dichaea";"Flora";NA;NA;NA;NA;"II"
2797607;131368079;81165;"Myrosmodes paludosa";"Myrosmodes paludosa (Rchb.f.) P.Ortiz";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Orchidaceae";"Myrosmodes";"Flora";NA;NA;"Nativa";"LC";"II"
2787048;NA;62189;"Pleurothallis grandiflora";"Pleurothallis grandiflora Lindl.";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Orchidaceae";"Pleurothallis";"Flora";NA;NA;NA;NA;"II"
5309109;NA;71699;"Stelis ascendens";"Stelis ascendens Lindl.";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Orchidaceae";"Stelis";"Flora";NA;NA;NA;NA;"II"
4140684;NA;NA;"Aciachne pulvinata";"Aciachne pulvinata Benth.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Aciachne";"Flora";NA;NA;NA;NA;NA
2706435;164020;NA;"Agrostis stolonifera";"Agrostis stolonifera L.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Agrostis";"Flora";NA;NA;"Introducida";"LC";NA
4134376;NA;NA;"Anthochloa lepidula";"Anthochloa lepidula Nees & Meyen";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Poa";"Flora";"Pasto";NA;NA;NA;NA
2706277;NA;NA;"Aristida adscensionis";"Aristida adscensionis L.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Aristida";"Flora";"Pasto";NA;"Nativa";NA;NA
