"ESPECIES";"INSTITUCIÓN";"AÑO";"AUTOR";"TÍTULO"
"Lupinus pinguis";"Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna";2007;"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva";"Eje Temático de Biodiversidad y Ecosistemas"
"Lupinus pinguis";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente.";2012;"Equipo Técnico de la Gerencia Regional de Recurso Naturales y gestión del medio Ambiente";"PLAN MAESTRO AREA DE CONSERVACIÓN REGIONAL VILACOTA MAURE-ACRVM"
"Lupinus pinguis";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Lupinus pinguis";"PUBLICACIÓN EN PRENSA";NA;"Cesar Nicolás Cáceres Musaja.";"Diversidad Florística de la Región Tacna"
"Lupinus proculaustrinus";"Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna";2007;"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva";"Eje Temático de Biodiversidad y Ecosistemas"
"Lupinus proculaustrinus";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Lupinus proculaustrinus";"PUBLICACIÓN EN PRENSA";NA;"Cesar Nicolás Cáceres Musaja.";"Diversidad Florística de la Región Tacna"
"Lupinus proculaustrinus";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión Ambiental. Proyecto de Inversión: "Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna"- CUI N° 2617548";2024;"Ing. M.Sc. Ph.D. Daniel Bernardo Montesinos Tubée";"ESTUDIO ESPECIALIZADO EN INVENTARIO Y EVALUACIÓN DE FLORA en el Sitio Prioritario para la Conservación (SPC) Candarave de la región Tacna"
"Lupinus subacaulis";"Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna";2007;"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva";"Eje Temático de Biodiversidad y Ecosistemas"
"Lupinus subacaulis";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Lupinus subacaulis";"PUBLICACIÓN EN PRENSA";NA;"Cesar Nicolás Cáceres Musaja.";"Diversidad Florística de la Región Tacna"
"Lupinus tarapacensis";"Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna";2007;"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva";"Eje Temático de Biodiversidad y Ecosistemas"
"Lupinus tarapacensis";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Lupinus tarapacensis";"PUBLICACIÓN EN PRENSA";NA;"Cesar Nicolás Cáceres Musaja.";"Diversidad Florística de la Región Tacna"
"Lupinus tarapacensis";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión Ambiental. Proyecto de Inversión: "Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna"- CUI N° 2617548";2024;"Ing. M.Sc. Ph.D. Daniel Bernardo Montesinos Tubée";"ESTUDIO ESPECIALIZADO EN INVENTARIO Y EVALUACIÓN DE FLORA en el Sitio Prioritario para la Conservación (SPC) Candarave de la región Tacna"
"Lupinus aff.";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente-ACR Vilacota Maure";2018;"Equipo Técnico de ACR Vilacota Maure";"PLAN MAESTRO AREA DE CONSERVACIÓN REGIONAL VILACOTA MAURE-ACRVM"
"Medicago lupulina";"Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna";2007;"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva";"Eje Temático de Biodiversidad y Ecosistemas"
"Medicago lupulina";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Medicago lupulina";"PUBLICACIÓN EN PRENSA";NA;"Cesar Nicolás Cáceres Musaja.";"Diversidad Florística de la Región Tacna"
"Medicago polymorpha";"Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna";2007;"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva";"Eje Temático de Biodiversidad y Ecosistemas"
"Medicago polymorpha";"Universidad Nacional Jorge Basadre Grohmann - Facultad de Ciencias - Escuela de Biología Microbiología";2004;"Cesar Nicolás Cáceres Musaja.";"TAXONOMIA Y USOS TRADICIONALES DE LAS PLANTAS MEDICINALES DE LA PROVINCIA DE CANDARAVE - TACNA"
"Medicago polymorpha";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Medicago polymorpha";"PUBLICACIÓN EN PRENSA";NA;"Cesar Nicolás Cáceres Musaja.";"Diversidad Florística de la Región Tacna"
"Medicago polymorpha";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión Ambiental. Proyecto de Inversión: "Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna"- CUI N° 2617548";2024;"Ing. M.Sc. Ph.D. Daniel Bernardo Montesinos Tubée";"ESTUDIO ESPECIALIZADO EN INVENTARIO Y EVALUACIÓN DE FLORA en el Sitio Prioritario para la Conservación (SPC) Candarave de la región Tacna"
"Medicago sativa";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión Ambiental. Proyecto de Inversión: "Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna"- CUI N° 2617548";2024;"Ing. M.Sc. Ph.D. Daniel Bernardo Montesinos Tubée";"ESTUDIO ESPECIALIZADO EN INVENTARIO Y EVALUACIÓN DE FLORA en el Sitio Prioritario para la Conservación (SPC) Candarave de la región Tacna"
"Melilotus albus";"Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna";2007;"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva";"Eje Temático de Biodiversidad y Ecosistemas"
"Melilotus albus";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente.  PROYECTO SNIP Nº 46073 "Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna\"";2009;"Norma Viladón Ledesma, Hipólita Paniagua; Lisseth Silva";"EVALUACIÓN POBLACIONAL DE LA FLORA AMENAZADA (Acacia macracantha, A. huarango, Prosopis pallida, P. chilensis y Geoffroea decorticans) EN LOS VALLES COSTEROS DE LA REGIÓN TACNA."
"Melilotus albus";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Melilotus albus";"PUBLICACIÓN EN PRENSA";NA;"Cesar Nicolás Cáceres Musaja.";"Diversidad Florística de la Región Tacna"
"Melilotus indicus";"Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna";2007;"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva";"Eje Temático de Biodiversidad y Ecosistemas"
"Melilotus indicus";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP N° 233717  \" Mejoramiento del servicio del Monitoreo e información ambiental\"";2014;" Kristel Sydne Hotuya Garcia";"EVALUACIÓN DE FLORA SILVESTRE EN EL SITIO PRIORITARIO DE CONSERVACIÓN DE LA ZONA BAJA DE CANDARAVE"
"Melilotus indicus";"Acta Botanica Malacitana 28: 121-147";2003;"Antonio Galán de Mera, César Cáceres y Adolfo González";"LA VEGETACIÓN DE LA ALTA MONTAÑA ANDINA DEL SUR DEL PERÚ"
"Melilotus indicus";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Melilotus indicus";"PUBLICACIÓN EN PRENSA";NA;"Cesar Nicolás Cáceres Musaja.";"Diversidad Florística de la Región Tacna"
"Melilotus indicus";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión Ambiental. Proyecto de Inversión: "Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna"- CUI N° 2617548";2024;"Ing. M.Sc. Ph.D. Daniel Bernardo Montesinos Tubée";"ESTUDIO ESPECIALIZADO EN INVENTARIO Y EVALUACIÓN DE FLORA en el Sitio Prioritario para la Conservación (SPC) Candarave de la región Tacna"
"Neltuma chilensis";"Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna";2007;"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva";"Eje Temático de Biodiversidad y Ecosistemas"
"Neltuma chilensis";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP Nº 46073  "Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna\"";2009;"Hipólita Paniagua, Javier Ignacio y Lisseth Silva";"EVALUACIÓN DE Carica candicans y Weberbaurella brongniartioides DEL ECOSISTEMA LOMAS DEL DESIERTO COSTERO DE LA REGIÓN TACNA"
"Neltuma chilensis";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP N° 233717 \" Mejoramiento del servicio del Monitoreo e información ambiental\"";2013;"Pablo Juan Franco León";"ESTUDIO POBLACIONAL DE Carica candicans (PAPAYA SILVESTRE) EN LOMAS DE MORRO SAMA Y LOMAS DE TACAHUAY""
"Neltuma chilensis";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP Nº 46073  "Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna\"";2010;"Giovanna Chipana; Joel Córdova; Javier Ignacio, Hipólita Paniagua";"EVALUACIÓN POBLACIONAL DE Ephedra americana (PINCO PINCO), EN LA PROVINCIA DE JORGE BASADRE (LOCUMBA) "
"Neltuma chilensis";"Instituto Nacional de Recursos Naturales. Intendencia Forestal y Fauna silvestre. Dirección de conservación de la Biodiversidad";2007;"Giovana Chipana Incacuña & Miguel Lleellish";"DIAGNÓSTICO POBLACIONAL DEL CARZO Haplorhus peruviana EN EL VALLE DE CINTO, TACNA"
"Neltuma chilensis";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP Nº 46073 "Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna\"";2008;"Norma Vidalón Ledesma, Iván Tárraga, Vilma Flores";"FLORA SILVESTRE AMENAZADA ASOCIADAS EN EL VALLE DE CINTO"
"Neltuma chilensis";"Revista Ciencia & Desarrollo N° 13: 36-42";2011;"Rosario Zegarra Zegarra";"LAS ESPECIES MADERERAS DEL DEPARTAMENTO DE TACNA. SU IMPACTO ECOLÓGICO."
"Neltuma chilensis";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente.  PROYECTO SNIP Nº 46073 "Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna\"";2009;"Norma Viladón Ledesma, Hipólita Paniagua; Lisseth Silva";"EVALUACIÓN POBLACIONAL DE LA FLORA AMENAZADA (Acacia macracantha, A. huarango, Prosopis pallida, P. chilensis y Geoffroea decorticans) EN LOS VALLES COSTEROS DE LA REGIÓN TACNA."
"Neltuma chilensis";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP Nº 46073 "Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna\"";2008;"Norma Viladón Ledesma; Iván Tárraga; Vilma Flores";"EVALUACIÓN Y CUANTIFICACIÓN Geoffroea decorticans EN EL VALLE DE SAMA LAS YARAS."
"Neltuma chilensis";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Neltuma chilensis";"PUBLICACIÓN EN PRENSA";NA;"Cesar Nicolás Cáceres Musaja.";"Diversidad Florística de la Región Tacna"
"Neltuma pallida";"Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna";2007;"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva";"Eje Temático de Biodiversidad y Ecosistemas"
"Neltuma pallida";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP Nº 46073  "Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna\"";2009;"Hipólita Paniagua, Javier Ignacio y Lisseth Silva";"EVALUACIÓN DE Carica candicans y Weberbaurella brongniartioides DEL ECOSISTEMA LOMAS DEL DESIERTO COSTERO DE LA REGIÓN TACNA"
"Neltuma pallida";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP N° 233717 \" Mejoramiento del servicio del Monitoreo e información ambiental\"";2013;"Pablo Juan Franco León";"ESTUDIO POBLACIONAL DE Carica candicans (PAPAYA SILVESTRE) EN LOMAS DE MORRO SAMA Y LOMAS DE TACAHUAY""
"Neltuma pallida";"Revista: CIENCIA & DESARROLLO 7 - Universidad Nacional Jorge Basadre Grohmann";2003;"Rosario Zegarra Zegarra.";"VEGETACIÓN DESERTICA DEL VALLE DE CINTO."
"Neltuma pallida";"Instituto Nacional de Recursos Naturales. Intendencia Forestal y Fauna silvestre. Dirección de conservación de la Biodiversidad";2007;"Giovana Chipana Incacuña & Miguel Lleellish";"DIAGNÓSTICO POBLACIONAL DEL CARZO Haplorhus peruviana EN EL VALLE DE CINTO, TACNA"
"Neltuma pallida";"Revista Ciencia & Desarrollo N° 13: 36-42";2011;"Rosario Zegarra Zegarra";"LAS ESPECIES MADERERAS DEL DEPARTAMENTO DE TACNA. SU IMPACTO ECOLÓGICO."
"Neltuma pallida";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente.  PROYECTO SNIP Nº 46073 "Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna\"";2009;"Norma Viladón Ledesma, Hipólita Paniagua; Lisseth Silva";"EVALUACIÓN POBLACIONAL DE LA FLORA AMENAZADA (Acacia macracantha, A. huarango, Prosopis pallida, P. chilensis y Geoffroea decorticans) EN LOS VALLES COSTEROS DE LA REGIÓN TACNA."
"Neltuma pallida";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP Nº 46073 "Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna\"";2008;"Norma Viladón Ledesma; Iván Tárraga; Vilma Flores";"EVALUACIÓN Y CUANTIFICACIÓN Geoffroea decorticans EN EL VALLE DE SAMA LAS YARAS."
"Neltuma pallida";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Neltuma pallida";"PUBLICACIÓN EN PRENSA";NA;"Cesar Nicolás Cáceres Musaja.";"Diversidad Florística de la Región Tacna"
"Otholobium pubescens";"Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna";2007;"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva";"Eje Temático de Biodiversidad y Ecosistemas"
"Otholobium pubescens";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente.  PROYECTO SNIP Nº 46073 "Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna\"";2009;"Norma Viladón Ledesma, Hipólita Paniagua; Lisseth Silva";"EVALUACIÓN POBLACIONAL DE LA FLORA AMENAZADA (Acacia macracantha, A. huarango, Prosopis pallida, P. chilensis y Geoffroea decorticans) EN LOS VALLES COSTEROS DE LA REGIÓN TACNA."
"Otholobium pubescens";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP N° 233717  \" Mejoramiento del servicio del Monitoreo e información ambiental\"";2014;" Kristel Sydne Hotuya Garcia";"EVALUACIÓN DE FLORA SILVESTRE EN EL SITIO PRIORITARIO DE CONSERVACIÓN DE LA ZONA BAJA DE CANDARAVE"
"Otholobium pubescens";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Otholobium pubescens";"PUBLICACIÓN EN PRENSA";NA;"Cesar Nicolás Cáceres Musaja.";"Diversidad Florística de la Región Tacna"
"Otholobium pubescens";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión Ambiental. Proyecto de Inversión: "Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna"- CUI N° 2617548";2024;"Ing. M.Sc. Ph.D. Daniel Bernardo Montesinos Tubée";"ESTUDIO ESPECIALIZADO EN INVENTARIO Y EVALUACIÓN DE FLORA en el Sitio Prioritario para la Conservación (SPC) Candarave de la región Tacna"
"Parkinsonia aculeata";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente.  PROYECTO SNIP Nº 46073 "Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna\"";2009;"Norma Viladón Ledesma, Hipólita Paniagua; Lisseth Silva";"EVALUACIÓN POBLACIONAL DE LA FLORA AMENAZADA (Acacia macracantha, A. huarango, Prosopis pallida, P. chilensis y Geoffroea decorticans) EN LOS VALLES COSTEROS DE LA REGIÓN TACNA."
"Senna birostris";"Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna";2007;"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva";"Eje Temático de Biodiversidad y Ecosistemas"
"Senna birostris";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Senna birostris";"PUBLICACIÓN EN PRENSA";NA;"Cesar Nicolás Cáceres Musaja.";"Diversidad Florística de la Región Tacna"
"Senna birostris";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión Ambiental. Proyecto de Inversión: "Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna"- CUI N° 2617548";2024;"Ing. M.Sc. Ph.D. Daniel Bernardo Montesinos Tubée";"ESTUDIO ESPECIALIZADO EN INVENTARIO Y EVALUACIÓN DE FLORA en el Sitio Prioritario para la Conservación (SPC) Candarave de la región Tacna"
"Senna brongniartii";"Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna";2007;"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva";"Eje Temático de Biodiversidad y Ecosistemas"
"Senna brongniartii";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Senna brongniartii";"PUBLICACIÓN EN PRENSA";NA;"Cesar Nicolás Cáceres Musaja.";"Diversidad Florística de la Región Tacna"
"Spartium junceum";"Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna";2007;"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva";"Eje Temático de Biodiversidad y Ecosistemas"
"Spartium junceum";"Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente.  PROYECTO SNIP Nº 46073 "Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna\"";2009;"Norma Viladón Ledesma, Hipólita Paniagua; Lisseth Silva";"EVALUACIÓN POBLACIONAL DE LA FLORA AMENAZADA (Acacia macracantha, A. huarango, Prosopis pallida, P. chilensis y Geoffroea decorticans) EN LOS VALLES COSTEROS DE LA REGIÓN TACNA."
"Spartium junceum";"Universidad Nacional Jorge Basadre Grohmann - Facultad de Ciencias - Escuela de Biología Microbiología";2004;"Cesar Nicolás Cáceres Musaja.";"TAXONOMIA Y USOS TRADICIONALES DE LAS PLANTAS MEDICINALES DE LA PROVINCIA DE CANDARAVE - TACNA"
"Spartium junceum";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Spartium junceum";"PUBLICACIÓN EN PRENSA";NA;"Cesar Nicolás Cáceres Musaja.";"Diversidad Florística de la Región Tacna"
