"ESPECIES";"INSTITUCIÓN";"AÑO";"AUTOR";"TÍTULO"
"Spatula cyanoptera";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Spatula cyanoptera";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Spatula cyanoptera";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Spatula cyanoptera";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"Spatula cyanoptera";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\".";2014;"Jhonson Vizcarra Romero.";"EVALUACIÓN DE AVES SILVESTRES EN LOS VALLES DE LOCUMBA Y SAMA."
"Spatula puna";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Spatula puna";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Spatula puna";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"Spatula puna";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2010;"Romina Venturia Candia.";"IMPACTO ANTRÓPICO Y AVIFAUNA DE LOS BOFEDALES ALTOANDINOS EN LA REGIÓN TACNA."
"Spatula puna";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2015;"Evaristo L. López Tejeda";"Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire"
