SCIENTIFIC NAME,SPANISH NAME
Phaethornis hispidus,White-bearded Hermit Ermitaño de Barba Blanca
Phaethornis guy,Green Hermit Ermitaño Verde
Phaethornis syrmatophorus,Tawny-bellied Hermit Ermitaño de Vientre Leonado
Phaethornis koepckeae,Koepcke’s Hermit Ermitaño de Koepcke
Phaethornis philippii,Needle-billed Hermit Ermitaño de Pico Aguja
Phaethornis bourcieri,Straight-billed Hermit Ermitaño de Pico Recto
Phaethornis longirostris,Long-billed Hermit Ermitaño de Pico Largo
Phaethornis malaris,Great-billed Hermit Ermitaño de Pico Grande
Doryfera ludovicae,Green-fronted Lancebill Pico-Lanza de Frente VerdeOrder CAPRIMULGIFORMES
Doryfera johannae,Blue-fronted Lancebill Pico-Lanza de Frente Azul
Schistes geoffroyi,Geoffroy’s Daggerbill Pico-Cuña de Geoffroy
Colibri delphinae,Brown Violetear Oreja-Violeta Parda
Colibri cyanotus,Lesser Violetear Oreja-Violeta Menor
Colibri coruscans,Sparkling Violetear Oreja-Violeta de Vientre Azul
Heliothryx barroti,Purple-crowned Fairy Colibrí-Hada de Corona Púrpura
Heliothryx auritus,Black-eared Fairy Colibrí-Hada de Oreja Negra
Polytmus guainumbi,White-tailed Goldenthroat Garganta-de-Oro de Cola Blanca
Polytmus theresiae,Green-tailed Goldenthroat Garganta-de-Oro de Cola Verde
Chrysolampis mosquitus,Ruby-topaz Hummingbird Colibrí Rubí-topacio
Anthracothorax nigricollis,Black-throated Mango Mango de Garganta Negra
Heliangelus amethysticollis,Amethyst-throated Sunangel Angel-del-Sol de Garganta Amatista
Heliangelus micraster,Little Sunangel Angel-del-Sol Chico
Heliangelus viola,Purple-throated Sunangel Angel-del-Sol de Garganta Púrpura
Heliangelus regalis,Royal Sunangel Angel-del-Sol Real
Discosura popelairii,Wire-crested Thorntail Cola-Cerda Crestado
Discosura langsdorffi,Black-bellied Thorntail Cola-Cerda de Vientre Negro
Lophornis delattrei,Rufous-crested Coquette Coqueta de Cresta Rufa
Lophornis stictolophus,Spangled Coquette Coqueta Coronada
Lophornis verreauxii,Butterfly Coquette Coqueta Mariposa
Phlogophilus hemileucurus,Ecuadorian Piedtail Cola-pintada Ecuatoriano
Phlogophilus harterti,Peruvian Piedtail Cola-pintada Peruano
Adelomyia melanogenys,Speckled Hummingbird Colibrí Jaspeado
Aglaiocercus kingii,Long-tailed Sylph Silfo de Cola Larga
Polyonymus caroli,Bronze-tailed Comet Cometa de Cola Bronceada
Taphrolesbia griseiventris,Gray-bellied Comet Cometa de Vientre Gris
Oreotrochilus estella,Andean Hillstar Estrella Andina
Oreotrochilus stolzmanni,Green-headed Hillstar Estrella de Cabeza Verde
Oreotrochilus melanogaster,Black-breasted Hillstar Estrella de Pecho Negro
Opisthoprora euryptera,Mountain Avocetbill Colibrí Pico de Avoceta
Lesbia victoriae,Black-tailed Trainbearer Colibrí de Cola Larga Negra
Lesbia nuna,Green-tailed Trainbearer Colibrí de Cola Larga Verde
Ramphomicron microrhynchum,Purple-backed Thornbill Pico-Espina de Dorso Púrpura
Oreonympha nobilis,Bearded Mountaineer Montañes Barbudo
Chalcostigma ruficeps,Rufous-capped Thornbill Pico-Espina de Gorro Rufo
Chalcostigma olivaceum,Olivaceous Thornbill Pico-Espina Oliváceo
Chalcostigma stanleyi,Blue-mantled Thornbill Pico-Espina de Dorso Azul
Chalcostigma herrani,Rainbow-bearded Thornbill Pico-Espina Arcoiris
Metallura tyrianthina,Tyrian Metaltail Colibrí Tirio
Metallura odomae,Neblina Metaltail Colibrí de Neblina
Metallura theresiae,Coppery Metaltail Colibrí Cobrizo
Metallura eupogon,Fire-throated Metaltail Colibrí Barba de Fuego
Metallura aeneocauda,Scaled Metaltail Colibrí Escamoso
Metallura phoebe,Black Metaltail Colibrí Negro
Haplophaedia aureliae,Greenish Puffleg Calzadito Verdoso
Haplophaedia assimilis,Buff-thighed Puffleg Calzadito de Muslo Anteado
Eriocnemis vestita,Glowing Puffleg Calzadito Reluciente
Eriocnemis luciani,Sapphire-vented Puffleg Calzadito de Cola Larga
Eriocnemis aline,Emerald-bellied Puffleg Calzadito de Vientre Esmeralda
Loddigesia mirabilis,Marvelous Spatuletail Colibrí Cola de Espátula
Aglaeactis cupripennis,Shining Sunbeam Rayo-de-Sol Brillante
Aglaeactis castelnaudii,White-tufted Sunbeam Rayo-de-Sol Acanelado
