nombre;nombre_comun;nombre_cientifico;descripcion;habitat;reino;filo;subfilo;clase;orden;familia;genero;estado_conservacion;Código IUCN;Categoría CITES;Categoría GBIF;cat_nacional;latitud;longitud;nombre_lugar;region;provincia;distrito;institucion_estudio;categoria
Playerito Menudo;Playerito Menudo;Calidris minutilla;Calidris minutilla (Vieillot, 1819);;Animalia;Chordata;;Aves;Charadriiformes;Scolopacidae;Calidris;LC;NT;NA;NA;NT;;;;;;;;
Playerito Semipalmado;Playerito Semipalmado;Calidris pusilla;Calidris pusilla (Linnaeus, 1766);;Animalia;Chordata;;Aves;Charadriiformes;Scolopacidae;Calidris;LC;NT;NA;NA;NT;;;;;;;;
Playero Acanelado;Playero Acanelado;Calidris subruficollis;Calidris subruficollis (Vieillot, 1819);;Animalia;Chordata;;Aves;Charadriiformes;Scolopacidae;Calidris;LC;VU;NA;NA;VU;;;;;;;;
Becasina de la Puna;Becasina de la Puna;Gallinago andina;Gallinago andina Taczanowski, 1875;;Animalia;Chordata;;Aves;Charadriiformes;Scolopacidae;Gallinago;LC;LC;NA;NA;LC;;;;;;;;
Aguja de Mar;Aguja de Mar;Limosa haemastica;Limosa haemastica (Linnaeus, 1758);;Animalia;Chordata;;Aves;Charadriiformes;Scolopacidae;Limosa;LC;VU;NA;NA;VU;;;;;;;;
Agujeta de Pico Corto;Agujeta de Pico Corto;Limnodromus griseus;Limnodromus griseus (J.F.Gmelin, 1789);;Animalia;Chordata;;Aves;Charadriiformes;Scolopacidae;Limnodromus;LC;VU;NA;NA;VU;;;;;;;;
Zarapito Trinador;Zarapito Trinador;Numenius phaeopus;Numenius phaeopus (Linnaeus, 1758);;Animalia;Chordata;;Aves;Charadriiformes;Scolopacidae;Numenius;LC;LC;NA;NA;LC;;;;;;;;
Faláropo de Pico Fino;Faláropo de Pico Fino;Phalaropus lobatus;Phalaropus lobatus (Linnaeus, 1758);;Animalia;Chordata;;Aves;Charadriiformes;Scolopacidae;Phalaropus;LC;LC;NA;NA;LC;;;;;;;;
Faláropo Tricolor;Faláropo Tricolor;Phalaropus tricolor;Phalaropus tricolor (Vieillot, 1819);;Animalia;Chordata;;Aves;Charadriiformes;Scolopacidae;Phalaropus;LC;NA;NA;NA;LC;;;;;;;;
Playero Pata Amarilla Menor;Playero Pata Amarilla Menor;Tringa flavipes;Tringa flavipes (J.F.Gmelin, 1789);;Animalia;Chordata;;Aves;Charadriiformes;Scolopacidae;Tringa;LC;VU;NA;NA;VU;;;;;;;;
Playero Pata Amarilla Mayor;Playero Pata Amarilla Mayor;Tringa melanoleuca;Tringa melanoleuca (J.F.Gmelin, 1789);;Animalia;Chordata;;Aves;Charadriiformes;Scolopacidae;Tringa;LC;NT;NA;NA;NT;;;;;;;;
Playero de Ala Blanca;Playero de Ala Blanca;Tringa semipalmata;Tringa semipalmata (J.F.Gmelin, 1789);;Animalia;Chordata;;Aves;Charadriiformes;Scolopacidae;Tringa;LC;LC;NA;NA;LC;;;;;;;;
Playero Solitario;Playero Solitario;Tringa solitaria;Tringa solitaria A.Wilson, 1813;;Animalia;Chordata;;Aves;Charadriiformes;Scolopacidae;Tringa;LC;LC;NA;NA;LC;;;;;;;;
Salteador Chileno;Salteador Chileno;Stercorarius chilensis;Stercorarius chilensis Bonaparte, 1857;;Animalia;Chordata;;Aves;Charadriiformes;Stercorariidae;Stercorarius;LC;NA;NA;NA;LC;;;;;;;;
Salteador Parásito;Salteador Parásito;Stercorarius parasiticus;Stercorarius parasiticus (Linnaeus, 1758);;Animalia;Chordata;;Aves;Charadriiformes;Stercorariidae;Stercorarius;LC;EN;NA;NA;LC;;;;;;;;
Salteador Pomarino;Salteador Pomarino;Stercorarius pomarinus;Stercorarius pomarinus (Temminck, 1815);;Animalia;Chordata;;Aves;Charadriiformes;Stercorariidae;Stercorarius;LC;LC;NA;NA;LC;;;;;;;;
Agachona de Vientre Rufo;Agachona de Vientre Rufo;Attagis gayi;Attagis gayi I.Geoffroy Saint-Hilaire & R.Lesson, 1831;;Animalia;Chordata;;Aves;Charadriiformes;Thinocoridae;Attagis;LC;LC;NA;NA;LC;;;;;;;;
Bandurria Andina;Bandurria Andina;Theristicus branickii;Theristicus branickii Berlepsch & Stolzmann, 1894;;Animalia;Chordata;;Aves;Pelecaniformes;Threskiornithidae;Theristicus;LC;NT;NA;NA;NT;;;;;;;;
Bandurria de Cara Negra;Bandurria de Cara Negra;Theristicus melanopis;Theristicus melanopis (Gmelin, 1789);;Animalia;Chordata;;Aves;Pelecaniformes;Threskiornithidae;Theristicus;LC;LC;NA;NA;LC;;;;;;;;
Agachona de Pecho Gris;Agachona de Pecho Gris;Thinocorus orbignyianus;Thinocorus orbignyianus I.Geoffroy Saint-Hilaire & R.Lesson, 1831;;Animalia;Chordata;;Aves;Charadriiformes;Thinocoridae;Thinocorus;LC;LC;NA;NA;LC;;;;;;;;
Agachona Chica;Agachona Chica;Thinocorus rumicivorus;Thinocorus rumicivorus Eschscholtz, 1829;;Animalia;Chordata;;Aves;Charadriiformes;Thinocoridae;Thinocorus;LC;LC;NA;NA;LC;;;;;;;;
Garza Grande;Garza Grande;Ardea alba;Ardea alba Linnaeus, 1758;;Animalia;Chordata;;Aves;Pelecaniformes;Ardeidae;Ardea;LC;LC;NC;NA;LC;;;;;;;;
Garza Cuca;Garza Cuca;Ardea cocoi;Ardea cocoi Linnaeus, 1766;;Animalia;Chordata;;Aves;Pelecaniformes;Ardeidae;Ardea;LC;LC;NA;NA;LC;;;;;;;;
Garcita Bueyera;Garcita Bueyera;Ardea ibis;Ardea ibis Linnaeus, 1758;;Animalia;Chordata;;Aves;Pelecaniformes;Ardeidae;Bubulcus;LC;NA;NA;NA;LC;;;;;;;;
Garcita Estriada;Garcita Estriada;Butorides striata;Butorides striata (Linnaeus, 1758);;Animalia;Chordata;;Aves;Pelecaniformes;Ardeidae;Butorides;LC;LC;NA;NA;LC;;;;;;;;
Garcita Azul;Garcita Azul;Egretta caerulea;Egretta caerulea (Linnaeus, 1758);;Animalia;Chordata;;Aves;Pelecaniformes;Ardeidae;Egretta;LC;LC;NA;NA;LC;;;;;;;;
Garcita Blanca;Garcita Blanca;Egretta thula;Egretta thula (Molina, 1782);;Animalia;Chordata;;Aves;Pelecaniformes;Ardeidae;Egretta;LC;LC;NA;NA;LC;;;;;;;;
Garcita Tricolor;Garcita Tricolor;Egretta tricolor;Egretta tricolor (Statius Muller, 1776);;Animalia;Chordata;;Aves;Pelecaniformes;Ardeidae;Egretta;LC;LC;NA;NA;LC;;;;;;;;
Mirasol Leonado;Mirasol Leonado;Botaurus exilis;Botaurus Stephens, 1819;;Animalia;Chordata;;Aves;Pelecaniformes;Ardeidae;Botaurus;LC;NA;NA;NA;LC;;;;;;;;
Huaco Común;Huaco Común;Nycticorax nycticorax;Nycticorax nycticorax (Linnaeus, 1758);;Animalia;Chordata;;Aves;Pelecaniformes;Ardeidae;Nycticorax;LC;LC;NA;NA;LC;;;;;;;;
Gallinazo de Cabeza Roja;Gallinazo de Cabeza Roja;Cathartes aura;Cathartes aura (Linnaeus, 1758);;Animalia;Chordata;;Aves;Accipitriformes;Cathartidae;Cathartes;LC;LC;NA;NA;LC;;;;;;;;
Cóndor Andino;Cóndor Andino;Vultur gryphus;Vultur gryphus Linnaeus, 1758;;Animalia;Chordata;;Aves;Accipitriformes;Cathartidae;Vultur;LC;VU;I;NA;VU;;;;;;;;
Espátula Rosada;Espátula Rosada;Platalea ajaja;Platalea ajaja Linnaeus, 1758;;Animalia;Chordata;;Aves;Pelecaniformes;Threskiornithidae;Platalea;LC;LC;NA;NA;LC;;;;;;;;
Ibis de la Puna;Ibis de la Puna;Plegadis ridgwayi;Plegadis ridgwayi (Allen, 1876);;Animalia;Chordata;;Aves;Pelecaniformes;Threskiornithidae;Plegadis;LC;LC;NA;NA;LC;;;;;;;;
Paloma Doméstica;Paloma Doméstica;Columba livia;Columba livia J.F.Gmelin, 1789;;Animalia;Chordata;;Aves;Columbiformes;Columbidae;Columba;LC;LC;NC;NA;LC;;;;;;;;
Tortolita Peruana;Tortolita Peruana;Columbina cruziana;Columbina cruziana (Prévost, 1842);;Animalia;Chordata;;Aves;Columbiformes;Columbidae;Columbina;LC;LC;NA;NA;LC;;;;;;;;
