"","ESPECIES","INSTITUCIÓN","AÑO","AUTOR","TÍTULO"
"2143","Parastrephia phyliciformis","Acta Botanica Malacitana 28: 121-147",2003,"Antonio Galán de Mera, César Cáceres y Adolfo González","LA VEGETACIÓN DE LA ALTA MONTAÑA ANDINA DEL SUR DEL PERÚ"
"2144","Parastrephia phyliciformis","Universidad Nacional Jorge Basadre Grohmann - Facultad de Ciencias - Escuela de Biología Microbiología",2004,"Cesar Nicolás Cáceres Musaja.","TAXONOMIA Y USOS TRADICIONALES DE LAS PLANTAS MEDICINALES DE LA PROVINCIA DE CANDARAVE – TACNA"
"2145","Parastrephia phyliciformis","Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: ""Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)""",2011,"Cesar Nicolás Cáceres Musaja.","ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD – COMPONENTE BIODIVERSIDAD"
"2146","Parastrephia phyliciformis","PUBLICACIÓN EN PRENSA",NA,"Cesar Nicolás Cáceres Musaja.","Diversidad Florística de la Región Tacna"
"2147","Parastrephia phyliciformis","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión Ambiental. Proyecto de Inversión: “Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna”- CUI N° 2617548",2024,"Ing. M.Sc. Ph.D. Daniel Bernardo Montesinos Tubée","ESTUDIO ESPECIALIZADO EN INVENTARIO Y EVALUACIÓN DE FLORA en el Sitio Prioritario para la Conservación (SPC) Candarave de la región Tacna"
"2148","Parastrephia quadrangularis","Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna",2007,"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva","Eje Temático de Biodiversidad y Ecosistemas"
"2149","Parastrephia quadrangularis","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente.  PROYECTO SNIP Nº 46073 “Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna""",2009,"Norma Viladón Ledesma, Hipólita Paniagua; Lisseth Silva","EVALUACIÓN POBLACIONAL DE LA FLORA AMENAZADA (Acacia macracantha, A. huarango, Prosopis pallida, P. chilensis y Geoffroea decorticans) EN LOS VALLES COSTEROS DE LA REGIÓN TACNA."
"2150","Parastrephia quadrangularis","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP Nº 46073 “Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna""",2008,"Norma Viladón Ledesma, Hipólita Paniagua; Javier Ignacio","FLORA ALTOANDINA AMENAZADA Polylepis tomentella y Polylepis besseri"
"2151","Parastrephia quadrangularis","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP Nº 46073  “Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna""",2009,"Hipólita Paniagua, Javier Ignacio y Lisseth Silva","EVALUACIÓN DE LOS BOSQUES DE QUEÑUALES (Polylepis basseri y Polylepis tomentera), EN LA ZONA ALTOANDINA DE LA REGIÓN DE TACNA."
"2152","Parastrephia quadrangularis","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente.",2012,"Equipo Técnico de la Gerencia Regional de Recurso Naturales y gestión del medio Ambiente","PLAN MAESTRO AREA DE CONSERVACIÓN REGIONAL VILACOTA MAURE-ACRVM"
"2153","Parastrephia quadrangularis","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP N° 233717  "" Mejoramiento del servicio del Monitoreo e información ambiental""",2014," Kristel Sydne Hotuya Garcia","EVALUACIÓN DE FLORA SILVESTRE EN EL SITIO PRIORITARIO DE CONSERVACIÓN DE LA ZONA BAJA DE CANDARAVE"
"2154","Parastrephia quadrangularis","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP N° 233717  "" Mejoramiento del servicio del Monitoreo e información ambiental""",2014,"Cinthya Andrea Musaja Acero","EVALUACIÓN DE FLORA SILVESTRE EN EL SITIO PRIORITARIO DE CONSERVACIÓN CABECERA DE CUENCA DEL CAPLINA"
"2155","Parastrephia quadrangularis","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP N° 233717  "" Mejoramiento del servicio del Monitoreo e información ambiental""",2014,"Graciela Jennifer Vargas Rios","EVALUACIÓN DE FLORA SILVESTRE EN EL SITIO PRIORITARIO PARA CONSERVACIÓN ALTO PERÚ-TRIPARTITO"
"2156","Parastrephia quadrangularis","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP Nº 46073  “Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna""",2009,"Hipólita Paniagua, Javier Ignacio y Lisseth Silva","EVALUACIÓN POBLACIONAL DE Parastrehia quadrangularis y P. lepidophylla (Tola), EN LA ZONA ALTOANDINA DE LA REGIÓN TACNA”"
"2157","Parastrephia quadrangularis","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO  SNIP Nº 46073  “Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna""",2009,"Norma Vidalón Ledesma, Hipólita Paniagua; Javier Ignacio; Liseth Silva; Iván Tárraga","EVALUACIÓN POBLACIONAL Azorella compacta  (Yareta), EN LA ZONA  ALTO ANDINA DE LA REGIÓN TACNA"
"2158","Parastrephia quadrangularis","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP Nº 46073  “Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna""",2011,"Javier Ignacio Apaza","EVALUACIÓN POBLACIONAL DE Azorella compacta (YARETA), EN LA ZONA ALTOANDINA DE LA PROVINCIA DE TACNA."
"2159","Parastrephia quadrangularis","Revista Ciencia & Desarrollo 7",2003,"Juan Franco León, Liduvina Sulca Quispe, César Cáceres Musaja","ASTERACEAS COMUNES DE LA PROVINCIA DE CANDARAVE- DEPARTAMENTO DE TACNA Y SU IMPORTANCIA COMO RECURSO NATURAL"
"2160","Parastrephia quadrangularis","Universidad Nacional Jorge Basadre Grohmann - Facultad de Ciencias - Escuela de Biología Microbiología",2004,"Cesar Nicolás Cáceres Musaja.","TAXONOMIA Y USOS TRADICIONALES DE LAS PLANTAS MEDICINALES DE LA PROVINCIA DE CANDARAVE – TACNA"
"2161","Parastrephia quadrangularis","Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: ""Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)""",2011,"Cesar Nicolás Cáceres Musaja.","ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD – COMPONENTE BIODIVERSIDAD"
"2162","Parastrephia quadrangularis","PUBLICACIÓN EN PRENSA",NA,"Cesar Nicolás Cáceres Musaja.","Diversidad Florística de la Región Tacna"
"2163","Parastrephia quadrangularis","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión Ambiental. Proyecto de Inversión: “Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna”- CUI N° 2617548",2024,"Ing. M.Sc. Ph.D. Daniel Bernardo Montesinos Tubée","ESTUDIO ESPECIALIZADO EN INVENTARIO Y EVALUACIÓN DE FLORA en el Sitio Prioritario para la Conservación (SPC) Candarave de la región Tacna"
"2164","Perezia coerulescens","Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna",2007,"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva","Eje Temático de Biodiversidad y Ecosistemas"
"2165","Perezia coerulescens","Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: ""Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)""",2011,"Cesar Nicolás Cáceres Musaja.","ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD – COMPONENTE BIODIVERSIDAD"
"2166","Perezia coerulescens","PUBLICACIÓN EN PRENSA",NA,"Cesar Nicolás Cáceres Musaja.","Diversidad Florística de la Región Tacna"
"2167","Perezia coerulescens","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión Ambiental. Proyecto de Inversión: “Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna”- CUI N° 2617548",2024,"Ing. M.Sc. Ph.D. Daniel Bernardo Montesinos Tubée","ESTUDIO ESPECIALIZADO EN INVENTARIO Y EVALUACIÓN DE FLORA en el Sitio Prioritario para la Conservación (SPC) Candarave de la región Tacna"
"2168","Perezia multiflora","Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna",2007,"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva","Eje Temático de Biodiversidad y Ecosistemas"
"2169","Perezia multiflora","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente.",2012,"Equipo Técnico de la Gerencia Regional de Recurso Naturales y gestión del medio Ambiente","PLAN MAESTRO AREA DE CONSERVACIÓN REGIONAL VILACOTA MAURE-ACRVM"
"2170","Perezia multiflora","Revista Ciencia & Desarrollo 7",2003,"Juan Franco León, Liduvina Sulca Quispe, César Cáceres Musaja","ASTERACEAS COMUNES DE LA PROVINCIA DE CANDARAVE- DEPARTAMENTO DE TACNA Y SU IMPORTANCIA COMO RECURSO NATURAL"
"2171","Perezia multiflora","Universidad Nacional Jorge Basadre Grohmann - Facultad de Ciencias - Escuela de Biología Microbiología",2004,"Cesar Nicolás Cáceres Musaja.","TAXONOMIA Y USOS TRADICIONALES DE LAS PLANTAS MEDICINALES DE LA PROVINCIA DE CANDARAVE – TACNA"
"2172","Perezia multiflora","Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: ""Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)""",2011,"Cesar Nicolás Cáceres Musaja.","ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD – COMPONENTE BIODIVERSIDAD"
"2173","Perezia multiflora","PUBLICACIÓN EN PRENSA",NA,"Cesar Nicolás Cáceres Musaja.","Diversidad Florística de la Región Tacna"
"2174","Perezia multiflora","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión Ambiental. Proyecto de Inversión: “Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna”- CUI N° 2617548",2024,"Ing. M.Sc. Ph.D. Daniel Bernardo Montesinos Tubée","ESTUDIO ESPECIALIZADO EN INVENTARIO Y EVALUACIÓN DE FLORA en el Sitio Prioritario para la Conservación (SPC) Candarave de la región Tacna"
"2175","Perezia pungens","Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna",2007,"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva","Eje Temático de Biodiversidad y Ecosistemas"
"2176","Perezia pungens","Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: ""Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)""",2011,"Cesar Nicolás Cáceres Musaja.","ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD – COMPONENTE BIODIVERSIDAD"
"2177","Perezia pungens","PUBLICACIÓN EN PRENSA",NA,"Cesar Nicolás Cáceres Musaja.","Diversidad Florística de la Región Tacna"
"2178","Perezia pungens","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión Ambiental. Proyecto de Inversión: “Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna”- CUI N° 2617548",2024,"Ing. M.Sc. Ph.D. Daniel Bernardo Montesinos Tubée","ESTUDIO ESPECIALIZADO EN INVENTARIO Y EVALUACIÓN DE FLORA en el Sitio Prioritario para la Conservación (SPC) Candarave de la región Tacna"
"2179","Perezia sublyrata","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente.",2012,"Equipo Técnico de la Gerencia Regional de Recurso Naturales y gestión del medio Ambiente","PLAN MAESTRO AREA DE CONSERVACIÓN REGIONAL VILACOTA MAURE-ACRVM"
"2180","Perezia sublyrata","Universidad Nacional Jorge Basadre Grohmann - Facultad de Ciencias - Escuela de Biología Microbiología",2004,"Cesar Nicolás Cáceres Musaja.","TAXONOMIA Y USOS TRADICIONALES DE LAS PLANTAS MEDICINALES DE LA PROVINCIA DE CANDARAVE – TACNA"
"2181","Perezia sublyrata","Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: ""Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)""",2011,"Cesar Nicolás Cáceres Musaja.","ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD – COMPONENTE BIODIVERSIDAD"
"2182","Perezia sublyrata","PUBLICACIÓN EN PRENSA",NA,"Cesar Nicolás Cáceres Musaja.","Diversidad Florística de la Región Tacna"
"2183","Perityle emoryi","Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna",2007,"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva","Eje Temático de Biodiversidad y Ecosistemas"
"2184","Perityle emoryi","Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: ""Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)""",2011,"Cesar Nicolás Cáceres Musaja.","ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD – COMPONENTE BIODIVERSIDAD"
"2185","Perityle emoryi","PUBLICACIÓN EN PRENSA",NA,"Cesar Nicolás Cáceres Musaja.","Diversidad Florística de la Región Tacna"
"2186","Philoglossa peruviana","Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna",2007,"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva","Eje Temático de Biodiversidad y Ecosistemas"
"2187","Philoglossa peruviana","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP N° 233717 "" Mejoramiento del servicio del Monitoreo e información ambiental""",2014,"Gabriela Ramos Vergara","EVALUACIÓN DE LA FLORA SILVESTRE EN EL SITIO PRIORITARIO PARA LA CONSERVACIÓN “LOMAS DE TACAHUAY”."
"2188","Philoglossa peruviana","Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: ""Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)""",2011,"Cesar Nicolás Cáceres Musaja.","ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD – COMPONENTE BIODIVERSIDAD"
"2189","Philoglossa peruviana","PUBLICACIÓN EN PRENSA",NA,"Cesar Nicolás Cáceres Musaja.","Diversidad Florística de la Región Tacna"
"2190","Picrosia longifolia","Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna",2007,"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva","Eje Temático de Biodiversidad y Ecosistemas"
"2191","Picrosia longifolia","PUBLICACIÓN EN PRENSA",NA,"Cesar Nicolás Cáceres Musaja.","Diversidad Florística de la Región Tacna"
"2192","Plazia daphnoides","Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna",2007,"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva","Eje Temático de Biodiversidad y Ecosistemas"
"2193","Plazia daphnoides","Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: ""Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)""",2011,"Cesar Nicolás Cáceres Musaja.","ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD – COMPONENTE BIODIVERSIDAD"
"2194","Plazia daphnoides","PUBLICACIÓN EN PRENSA",NA,"Cesar Nicolás Cáceres Musaja.","Diversidad Florística de la Región Tacna"
"2195","Pluchea chingoyo","Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna",2007,"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva","Eje Temático de Biodiversidad y Ecosistemas"
"2196","Pluchea chingoyo","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP N° 233717 "" Mejoramiento del servicio del Monitoreo e información ambiental""",2013,"Pablo Juan Franco León","ESTUDIO POBLACIONAL DE Carica candicans (PAPAYA SILVESTRE) EN LOMAS DE MORRO SAMA Y LOMAS DE TACAHUAY”"
"2197","Pluchea chingoyo","Revista: CIENCIA & DESARROLLO 7 - Universidad Nacional Jorge Basadre Grohmann",2003,"Rosario Zegarra Zegarra.","VEGETACIÓN DESERTICA DEL VALLE DE CINTO."
"2198","Pluchea chingoyo","Instituto Nacional de Recursos Naturales. Intendencia Forestal y Fauna silvestre. Dirección de conservación de la Biodiversidad",2007,"Giovana Chipana Incacuña & Miguel Lleellish","DIAGNÓSTICO POBLACIONAL DEL CARZO Haplorhus peruviana EN EL VALLE DE CINTO, TACNA"
"2199","Pluchea chingoyo","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP Nº 46073 “Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna""",2008,"Norma Vidalón Ledesma, Iván Tárraga, Vilma Flores","FLORA SILVESTRE AMENAZADA ASOCIADAS EN EL VALLE DE CINTO"
"2200","Pluchea chingoyo","Revista Ciencia & Desarrollo N° 13: 36-42",2011,"Rosario Zegarra Zegarra","LAS ESPECIES MADERERAS DEL DEPARTAMENTO DE TACNA. SU IMPACTO ECOLÓGICO."
"2201","Pluchea chingoyo","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP N° 233717  "" Mejoramiento del servicio del Monitoreo e información ambiental""",2013,"Evaristo López Tejeda","SERVICIO PROFESIONAL PARA ELABORACIÓN DEL “ESTUDIO POBLACIONAL DEL Haplorhus peruviana (CARSO) EN EL VALLE DE CINTO”"
"2202","Pluchea chingoyo","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente.  PROYECTO SNIP Nº 46073 “Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna""",2009,"Norma Viladón Ledesma, Hipólita Paniagua; Lisseth Silva","EVALUACIÓN POBLACIONAL DE LA FLORA AMENAZADA (Acacia macracantha, A. huarango, Prosopis pallida, P. chilensis y Geoffroea decorticans) EN LOS VALLES COSTEROS DE LA REGIÓN TACNA."
"2203","Pluchea chingoyo","Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: ""Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)""",2011,"Cesar Nicolás Cáceres Musaja.","ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD – COMPONENTE BIODIVERSIDAD"
"2204","Pluchea chingoyo","PUBLICACIÓN EN PRENSA",NA,"Cesar Nicolás Cáceres Musaja.","Diversidad Florística de la Región Tacna"
"2205","Polyachyrus annuus","Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna",2007,"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva","Eje Temático de Biodiversidad y Ecosistemas"
"2206","Polyachyrus annuus","Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: ""Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)""",2011,"Cesar Nicolás Cáceres Musaja.","ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD – COMPONENTE BIODIVERSIDAD"
"2207","Polyachyrus annuus","PUBLICACIÓN EN PRENSA",NA,"Cesar Nicolás Cáceres Musaja.","Diversidad Florística de la Región Tacna"
"2208","Polyachyrus sphaerocephalus","Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna",2007,"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva","Eje Temático de Biodiversidad y Ecosistemas"
"2209","Polyachyrus sphaerocephalus","Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: ""Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)""",2011,"Cesar Nicolás Cáceres Musaja.","ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD – COMPONENTE BIODIVERSIDAD"
"2210","Polyachyrus sphaerocephalus","PUBLICACIÓN EN PRENSA",NA,"Cesar Nicolás Cáceres Musaja.","Diversidad Florística de la Región Tacna"
"2211","Polyachyrus sphaerocephalus","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión Ambiental. Proyecto de Inversión: “Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna”- CUI N° 2617548",2024,"Ing. M.Sc. Ph.D. Daniel Bernardo Montesinos Tubée","ESTUDIO ESPECIALIZADO EN INVENTARIO Y EVALUACIÓN DE FLORA en el Sitio Prioritario para la Conservación (SPC) Candarave de la región Tacna"
"2212","Proustia berberidifolia","Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna",2007,"César Nicolás Cáceres Musaja,  Javier Ignacio; Samuel Rubén Yufra Silva","Eje Temático de Biodiversidad y Ecosistemas"
"2213","Proustia berberidifolia","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP Nº 46073  “Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna""",2009,"Hipólita Paniagua, Javier Ignacio y Lisseth Silva","EVALUACIÓN DE LOS BOSQUES DE QUEÑUALES (Polylepis basseri y Polylepis tomentera), EN LA ZONA ALTOANDINA DE LA REGIÓN DE TACNA."
"2214","Proustia berberidifolia","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente.",2012,"Equipo Técnico de la Gerencia Regional de Recurso Naturales y gestión del medio Ambiente","PLAN MAESTRO AREA DE CONSERVACIÓN REGIONAL VILACOTA MAURE-ACRVM"
"2215","Proustia berberidifolia","Gobierno Regional Tacna, Gerencia de Recursos Naturales y Gestión del Medio Ambiente. PROYECTO SNIP Nº 46073  “Desarrollo de capacidades para la conservación de flora y fauna amenazada en la Región Tacna""",2009,"Hipólita Paniagua, Javier Ignacio y Lisseth Silva","EVALUACIÓN POBLACIONAL DE Parastrehia quadrangularis y P. lepidophylla (Tola), EN LA ZONA ALTOANDINA DE LA REGIÓN TACNA”"
"2216","Proustia berberidifolia","Acta Botanica Malacitana 28: 121-147",2003,"Antonio Galán de Mera, César Cáceres y Adolfo González","LA VEGETACIÓN DE LA ALTA MONTAÑA ANDINA DEL SUR DEL PERÚ"
"2217","Proustia berberidifolia","Revista Ciencia & Desarrollo 7",2003,"Juan Franco León, Liduvina Sulca Quispe, César Cáceres Musaja","ASTERACEAS COMUNES DE LA PROVINCIA DE CANDARAVE- DEPARTAMENTO DE TACNA Y SU IMPORTANCIA COMO RECURSO NATURAL"
"2218","Proustia berberidifolia","Universidad Nacional Jorge Basadre Grohmann - Facultad de Ciencias - Escuela de Biología Microbiología",2004,"Cesar Nicolás Cáceres Musaja.","TAXONOMIA Y USOS TRADICIONALES DE LAS PLANTAS MEDICINALES DE LA PROVINCIA DE CANDARAVE – TACNA"
